"cluster_id","entita","tipo","chi","modo","n_studi_tolti","bracci_tolti","campioni_tolti","n_geni_richiesti","n_geni_confrontati","n_geni_spariti","spearman","n_sig_pieno","n_sig_ridotto","n_sig_persi","n_sig_guadagnati","max_abs_delta_logFC","gene_max_delta","k_pieno","k_ridotto"
"cgroup_L5_2e16719f","TGFB1","accusato (LOO)","GSE139963","tutti",1,2,11,7909,7909,0,0.992499870767157,7909,7682,227,0,0.0918558643661438,"ENSG00000179772",58,57
"cgroup_L5_2e16719f","TGFB1","accusato (LOO)","GSE240476","tutti",1,1,6,7909,7909,0,0.993508050687359,7909,7752,157,0,0.0406910119264832,"ENSG00000086991",58,57
"cgroup_L5_2e16719f","TGFB1","accusato (LOO)","GSE210984","tutti",1,3,17,7909,7908,1,0.976278893575625,7909,7721,188,0,0.11919067691055,"ENSG00000132854",58,57
"cgroup_L5_2e16719f","TGFB1","accusato (LOO)","GSE161176","tutti",1,6,98,7909,7909,0,0.964538043225122,7909,7684,225,0,0.0880483477648903,"ENSG00000132854",58,57
"cgroup_L5_2e16719f","TGFB1","accusato (LOO)","GSE97358","tutti",1,4,171,7909,7909,0,0.995932627972924,7909,7744,165,0,0.117083836493673,"ENSG00000179772",58,57
"cgroup_L5_2e16719f","TGFB1","accusati (blocco)","GSE139963+GSE240476+GSE210984+GSE161176+GSE97358","tutti",5,16,303,7909,7908,1,0.901693311395286,7909,7315,594,0,0.203112408302129,"ENSG00000132854",58,53
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE100574","tutti",1,1,10,7909,7909,0,0.994943477835597,7909,7738,171,0,0.0451889636724729,"ENSG00000139211",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE102674","tutti",1,1,8,7909,7909,0,0.98997238007506,7909,7637,272,0,0.16154124505685,"ENSG00000143768",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE117329","tutti",1,3,18,7909,7905,4,0.991011042045226,7909,7679,230,0,0.106897050887182,"ENSG00000132854",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE119007","tutti",1,1,5,7909,7907,2,0.994994878209272,7909,7651,258,0,0.142306852237517,"ENSG00000132854",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE119606","tutti",1,2,11,7909,7909,0,0.996349149821246,7909,7730,179,0,0.0424658770592439,"ENSG00000095752",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE123018","tutti",1,4,54,7909,7909,0,0.996413405803798,7909,7819,90,0,0.0780587286231533,"ENSG00000179772",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE125577","tutti",1,1,5,7909,7909,0,0.995530841821292,7909,7706,203,0,0.124173095537759,"ENSG00000213030",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE128940","tutti",1,1,6,7909,7908,1,0.993743506141583,7909,7617,292,0,0.0517958194967436,"ENSG00000086991",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE131998","tutti",1,1,11,7909,7908,1,0.999360995826954,7909,7855,54,0,0.028589933613766,"ENSG00000103489",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE134298","tutti",1,1,5,7909,7909,0,0.989756818733821,7909,7693,216,0,0.0273813232999343,"ENSG00000074590",58,57
"cgroup_L5_2e16719f","TGFB1","pulito (LOO)","GSE134395","tutti",1,2,24,7909,7908,1,0.997629856173694,7909,7863,46,0,0.11772584143685,"ENSG00000213030",58,57
