"cluster_id","n_sig","I2_med","tau2_med","k_eff","anchor_key","kind_effective_resolved","agent_id_resolved","canonical_name","recovery_source"
"group_L4_7b3e137b",7962,58.7,0.1089,6,"disease_vs_normal|MeSH:D002292|kidney","disease_vs_normal","MeSH:D002292","Carcinoma, Renal Cell","MESH_NAME"
"group_L4_ec80f0e9",6929,95.4,0.1059,15,"small_molecule|CHEBI:379896|prostate","small_molecule","CHEBI:379896","R1881","LLM_NAME_CLEANUP"
"group_L4_02a1fb3f",5483,96.4,0.3137,5,"small_molecule|CHEBI:3139|prostate","small_molecule","CHEBI:3139","bleomycin A<small><sub>2</sub></small>","COMPOUND_COMBO"
"group_L4_455cb1f4",5338,91.2,0.3301,3,"genetic_overexpression|STR:mir-9/9*-124|skin","genetic_overexpression","STR:mir-9/9*-124","miR-9/9*-124","NO_RECOVERY"
"group_L4_f4b9f686",5141,94.5,0.2513,4,"small_molecule|CHEBI:27953|prostate","small_molecule","CHEBI:27953","physostigmine","CHEBI_ALIAS"
"group_L4_3b83ac87",4822,73.6,0.0337,4,"small_molecule|CHEBI:85993|breast","small_molecule","CHEBI:85993","palbociclib","NO_RECOVERY"
"group_L4_51625c0e",4502,42.6,0.0219,3,"small_molecule|CHEBI:231601|breast","small_molecule","CHEBI:231601","trastuzumab","CHEBI_ALIAS"
"group_L4_c8600f54",4138,62,0.0951,6,"disease_vs_normal|MeSH:D013274|stomach","disease_vs_normal","MeSH:D013274","gastric cancer","LLM_NAME_CLEANUP"
"group_L4_1b42ff33",3823,58,0.0162,4,"pathogen_or_aggregate_exposure|CHEBI:16412|Whole blood","pathogen_or_aggregate_exposure","CHEBI:16412","Lipopolysaccharide","LLM_NAME_CLEANUP"
"group_L4_c51b10c1",3576,76.8,0.17,34,"disease_vs_normal|MeSH:D006528|liver","disease_vs_normal","MeSH:D006528","hepatocellular carcinoma","LLM_NAME_CLEANUP"
"group_L4_3dc3ae01",3551,61.9,0.06,3,"cytokine_stim|MeSH:D053583|cartilage","cytokine_stim","MeSH:D053583","Interleukin-1beta","NO_RECOVERY"
"group_L4_1ec72ee3",3535,31.4,0.0074,3,"disease_vs_normal|MeSH:D010300|brain","disease_vs_normal","MeSH:D010300","Parkinson's disease","LLM_NAME_CLEANUP"
"group_L4_eda28231",3444,61.7,0.0656,5,"disease_vs_normal|MeSH:D008175|lung","disease_vs_normal","MeSH:D008175","Lung Neoplasms","MESH_NAME"
"group_L4_acedcf7f",3376,0,0,3,"small_molecule|CHEBI:16579|blood","small_molecule","CHEBI:16579","anisole","LLM_NAME_CLEANUP"
"group_L4_b128b80d",3193,95,0.1424,30,"small_molecule|CHEBI:68534|prostate","small_molecule","CHEBI:68534","Enzalutamide","LLM_NAME_CLEANUP"
"group_L4_f6799506",3158,94.7,0.2572,4,"small_molecule|CHEBI:46345|colon","small_molecule","CHEBI:46345","5-fluorouracil","LLM_NAME_CLEANUP"
"group_L4_073a3d38",3018,79.3,0.1107,3,"genetic_overexpression|HGNC:6407|lung","genetic_overexpression","HGNC:6407","KRAS","NO_RECOVERY"
