"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L0_012903ed","disease_vs_normal","group",3,"MeSH:D001943","Breast Neoplasms",5,5,2,0,2,"MeSH:D001943|STR:breast_cancer_cells",TRUE
"group_L0_017bc60a","disease_vs_normal","group",3,"MeSH:D006528","Carcinoma, Hepatocellular",12,12,1,0,1,"MeSH:D006528",FALSE
"group_L0_01b21b66","small_molecule","group",2,"UNK",NA,4,4,0,0,0,"",FALSE
"group_L0_01ff7155","disease_vs_normal","group",2,"UNK",NA,11,11,0,0,0,"",FALSE
"group_L0_032f5f53","small_molecule","group",2,"CHEBI:42068","idarubicin",18,18,0,0,0,"",FALSE
"group_L0_034a1ad5","pathogen_or_aggregate_exposure","group",2,"UNK",NA,3,3,0,0,0,"",FALSE
"group_L0_036bccb9","disease_vs_normal","group",2,"UNK",NA,145,145,0,0,0,"",FALSE
"group_L0_03830837","disease_vs_normal","group",2,"UNK",NA,10,10,0,0,0,"",FALSE
"group_L0_03989165","disease_vs_normal","group",2,"UNK",NA,16,16,0,0,0,"",FALSE
"group_L0_03a22c7a","small_molecule","group",2,"CHEBI:45783","imatinib",28,28,0,0,0,"",FALSE
"group_L0_041593e6","disease_vs_normal","group",2,"UNK",NA,5,5,0,0,0,"",FALSE
"group_L0_0429fc66","small_molecule","group",2,"CHEBI:145535","pevonedistat",5,5,0,1,1,"CHEBI:145535",FALSE
"group_L0_047cd974","disease_vs_normal","group",2,"STR:breast_cancer_cell","breast cancer cell",3,3,1,0,1,"STR:breast_cancer_cell",FALSE
"group_L0_049f6242","disease_vs_normal","group",2,"UNK",NA,66,66,0,0,0,"",FALSE
"group_L0_04a0706b","small_molecule","group",5,"UNK",NA,7,7,0,0,0,"",FALSE
"group_L0_04a7672b","disease_vs_normal","group",2,"STR:pancreatic_ductal_adenocarcinoma","pancreatic ductal adenocarcinoma",4,4,1,0,1,"STR:pancreatic_ductal_adenocarcinoma",FALSE
"group_L0_04ccbc2d","small_molecule","group",2,"CHEBI:50284","lavandulyl diphosphate",2,2,0,0,0,"",FALSE
"group_L0_051eb351","small_molecule","group",3,"CHEBI:85993","palbociclib",6,6,0,2,2,"CHEBI:85993|STR:palbocicilib_indisulam",TRUE
"group_L0_05ca8d7e","disease_vs_normal","group",2,"STR:tumor_biopsy","tumor biopsy",45,45,1,0,1,"STR:tumor_biopsy",FALSE
"group_L0_06fe1908","disease_vs_normal","group",2,"MeSH:D015470","Leukemia, Myeloid, Acute",163,163,1,0,1,"MeSH:D015470",FALSE
"group_L0_09015fc7","disease_vs_normal","group",12,"MeSH:D001943","Breast Neoplasms",25,25,3,0,3,"MeSH:D001943|STR:breast_cancer_cells|STR:human_breast_cancer_cells",TRUE
"group_L0_09100430","disease_vs_normal","group",2,"STR:hcc","hcc",109,109,1,0,1,"STR:hcc",FALSE
"group_L0_0b02926f","small_molecule","group",2,"UNK",NA,5,5,0,0,0,"",FALSE
"group_L0_0b560a9a","disease_vs_normal","group",2,"UNK",NA,7,7,0,0,0,"",FALSE
"group_L0_0be4d7eb","small_molecule","group",2,"CHEBI:5091","flecainide acetate",14,14,0,0,0,"",FALSE
"group_L0_0c1e9e6a","small_molecule","group",2,"STR:kw2449","kw2449",4,4,0,1,1,"STR:kw2449",FALSE
"group_L0_0c316b6d","disease_vs_normal","group",2,"UNK",NA,3,3,0,0,0,"",FALSE
"group_L0_0cd68565","small_molecule","group",2,"CHEBI:2549","albuterol",14,14,0,1,1,"CHEBI:2549",FALSE
"group_L0_0e0e516d","disease_vs_normal","group",2,"STR:glioblastoma_grade_iv","glioblastoma grade iv",10,10,1,0,1,"STR:glioblastoma_grade_iv",FALSE
"group_L0_0e842031","disease_vs_normal","group",4,"UNK",NA,11,11,0,0,0,"",FALSE
"group_L0_10297be0","pathogen_or_aggregate_exposure","group",5,"UNK",NA,539,539,0,1,1,"STR:covid_positive",FALSE
"group_L0_1075f742","disease_vs_normal","group",2,"UNK",NA,21,21,0,0,0,"",FALSE
"group_L0_10a8ee65","disease_vs_normal","group",2,"MeSH:D008175","Lung Neoplasms",2,2,1,0,1,"MeSH:D008175",FALSE
"group_L0_123f5ebd","disease_vs_normal","group",2,"MeSH:D011471","Prostatic Neoplasms",4,4,1,0,1,"MeSH:D011471",FALSE
"group_L0_1283f8b3","pathogen_or_aggregate_exposure","group",2,"UNK",NA,7,7,0,0,0,"",FALSE
"group_L0_12c5db35","disease_vs_normal","group",2,"UNK",NA,88,88,0,0,0,"",FALSE
"group_L0_12ea3ec0","disease_vs_normal","group",2,"UNK",NA,5,5,0,0,0,"",FALSE
"group_L0_134b11c0","disease_vs_normal","group",2,"STR:breast_cancer_cell_line","breast cancer cell line",18,18,1,0,1,"STR:breast_cancer_cell_line",FALSE
"group_L0_13cc5d75","disease_vs_normal","group",2,"MeSH:D011471","Prostatic Neoplasms",18,18,1,0,1,"MeSH:D011471",FALSE
"group_L0_13ea76ad","disease_vs_normal","group",2,"UNK",NA,4,4,0,0,0,"",FALSE
"group_L0_14084fdc","disease_vs_normal","group",2,"UNK",NA,4,4,0,0,0,"",FALSE
"group_L0_147d2c4b","disease_vs_normal","group",14,"UNK",NA,326,326,0,0,0,"",FALSE
"group_L0_14b8bf5b","pathogen_or_aggregate_exposure","group",2,"STR:hepatitis b virus","Hepatitis B virus",7,7,0,0,0,"",FALSE
"group_L0_14e5c60b","disease_vs_normal","group",2,"UNK",NA,4,4,0,0,0,"",FALSE
"group_L0_15137e39","small_molecule","group",2,"CHEBI:50756","acridone",2,2,0,1,1,"CHEBI:50924",FALSE
"group_L0_153d6b40","disease_vs_normal","group",3,"STR:breast_cancer_cells","breast cancer cells",3,3,1,0,1,"STR:breast_cancer_cells",FALSE
"group_L0_15c1cbad","small_molecule","group",2,"CHEBI:91435","linifanib",3,3,0,1,1,"CHEBI:91435",FALSE
"group_L0_15e1435c","disease_vs_normal","group",6,"UNK",NA,10,10,0,0,0,"",FALSE
"group_L0_17233541","small_molecule","group",4,"UNK",NA,12,12,0,0,0,"",FALSE
"group_L0_172d39ef","small_molecule","group",2,"CHEBI:75597","dT<small><sub>8</sub></small>",10,10,0,0,0,"",FALSE
"group_L0_1787e8fd","small_molecule","group",2,"STR:10um_of_1_so","10um of 1-so",2,2,0,1,1,"STR:10um_of_1_so",FALSE
"group_L0_17952e85","disease_vs_normal","group",4,"STR:primary_colon_cancer_cell","primary colon cancer cell",24,24,1,0,1,"STR:primary_colon_cancer_cell",FALSE
"group_L0_17ab12ba","pathogen_or_aggregate_exposure","group",2,"UNK",NA,103,103,0,0,0,"",FALSE
"group_L0_17c085f2","disease_vs_normal","group",3,"UNK",NA,6,6,0,0,0,"",FALSE
"group_L0_1950749d","disease_vs_normal","group",4,"UNK",NA,40,40,0,0,0,"",FALSE
"group_L0_19b264f2","disease_vs_normal","group",2,"MeSH:D064726","Triple Negative Breast Neoplasms",4,4,1,0,1,"MeSH:D064726",FALSE
"group_L0_19bbf4c8","small_molecule","group",2,"CHEBI:123456","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide",4,4,0,3,3,"CHEBI:39112|CHEBI:90217|STR:cobimetinib_gdc_0973",TRUE
"group_L0_1aa47912","disease_vs_normal","group",2,"UNK",NA,105,105,0,0,0,"",FALSE
"group_L0_1ab5e10c","disease_vs_normal","group",3,"UNK",NA,153,153,0,0,0,"",FALSE
"group_L0_1ab6be90","disease_vs_normal","group",3,"STR:colon_cancer_cell_line","colon cancer cell line",12,12,1,0,1,"STR:colon_cancer_cell_line",FALSE
"group_L0_1b5c5b9b","disease_vs_normal","group",2,"UNK",NA,8,8,0,0,0,"",FALSE
"group_L0_1b750cd4","small_molecule","group",2,"UNK",NA,2,2,0,0,0,"",FALSE
"group_L0_1c2d1cdc","disease_vs_normal","group",2,"UNK",NA,6,6,0,0,0,"",FALSE
"group_L0_1c72fc74","disease_vs_normal","group",4,"UNK",NA,304,304,0,0,0,"",FALSE
"group_L0_1cf02e8d","disease_vs_normal","group",3,"MeSH:D011471","Prostatic Neoplasms",7,7,1,0,1,"MeSH:D011471",FALSE
"group_L0_1db46f09","pathogen_or_aggregate_exposure","group",2,"STR:tuberculosis","Tuberculosis",42,42,0,0,0,"",FALSE
"group_L0_1e1f3d83","disease_vs_normal","group",2,"STR:nash","nash",20,20,1,0,1,"STR:nash",FALSE
"group_L0_1edb43ee","disease_vs_normal","group",2,"STR:colon_cancer_organoids","colon cancer organoids",7,7,1,0,1,"STR:colon_cancer_organoids",FALSE
"group_L0_1f63eefc","small_molecule","group",2,"CHEBI:8378","prednisolone",10,10,0,0,0,"",FALSE
"group_L0_1f710ea1","disease_vs_normal","group",2,"STR:breast_cancer_cells","breast cancer cells",8,8,1,0,1,"STR:breast_cancer_cells",FALSE
"group_L0_1fe1a533","pathogen_or_aggregate_exposure","group",2,"MeSH:D061986","MCF-7 Cells",6,6,0,1,1,"STR:stimulated_16_hours_with_mcf7_tumors",FALSE
"group_L0_20439997","disease_vs_normal","group",3,"STR:ipf","ipf",27,27,1,0,1,"STR:ipf",FALSE
"group_L0_206d38e0","pathogen_or_aggregate_exposure","group",3,"UNK",NA,172,172,0,0,0,"",FALSE
"group_L0_207bddbd","disease_vs_normal","group",2,"UNK",NA,86,86,0,0,0,"",FALSE
"group_L0_20bc9277","disease_vs_normal","group",2,"UNK",NA,4,4,0,0,0,"",FALSE
"group_L0_213467ee","small_molecule","group",2,"CHEBI:134210","(<i>R</i>)-laudanosine(1+)",4,4,0,3,3,"CHEBI:135945|CHEBI:90531|STR:icotinib",TRUE
"group_L0_21474db4","disease_vs_normal","group",2,"UNK",NA,5,5,0,0,0,"",FALSE
"group_L0_2196544e","pathogen_or_aggregate_exposure","group",5,"UNK",NA,47,47,0,0,0,"",FALSE
"group_L0_219743d7","disease_vs_normal","group",2,"STR:colon_cancer_cell_line","colon cancer cell line",10,10,1,0,1,"STR:colon_cancer_cell_line",FALSE
"group_L0_220e25a2","pathogen_or_aggregate_exposure","group",2,"STR:malaria","Malaria",74,74,0,0,0,"",FALSE
"group_L0_22b0684a","small_molecule","group",3,"MeSH:D011384","Proinsulin",80,80,0,0,0,"",FALSE
