"post_seg2","klass","level","n","n_ov","k_pre","k_post"
"MeSH:D001943","fusione_in_esistente",4,71,70,277,325
"MeSH:D000077192","fusione_in_esistente",4,40,39,184,215
"MeSH:D006528","fusione_in_esistente",4,50,49,154,190
"MeSH:D001943","fusione_in_esistente",3,24,23,164,177
"MeSH:D015179","fusione_in_esistente",4,46,45,127,167
"MeSH:D011471","fusione_in_esistente",4,47,46,136,154
"MeSH:D015470","fusione_in_esistente",4,10,9,90,97
"MeSH:D006528","fusione_in_esistente",3,29,28,75,95
"MeSH:D001943","fusione_in_esistente",3,9,8,70,78
"MeSH:D000077192","fusione_in_esistente",3,10,9,67,76
"MeSH:D002289","fusione_in_esistente",4,36,35,48,72
"MeSH:D000077192","fusione_in_esistente",3,15,14,55,68
"MeSH:D015470","fusione_in_esistente",3,10,9,61,68
"MeSH:D010051","fusione_in_esistente",4,16,15,55,67
"MeSH:D011471","fusione_in_esistente",3,8,7,59,63
"MeSH:D011471","fusione_in_esistente",3,17,16,51,62
"MeSH:D001943","fusione_in_esistente",3,24,23,40,59
"NCBITaxon:1773","fusione_in_esistente",4,12,11,55,58
"MeSH:D015179","fusione_in_esistente",3,12,11,48,57
"CHEBI:68534","fusione_in_esistente",4,8,7,51,54
"NCBITaxon:1773","fusione_in_esistente",3,8,7,49,49
"MeSH:D000077192","fusione_in_esistente",3,14,13,41,48
"MeSH:D001943","fusione_in_esistente",2,7,6,44,48
"MeSH:D006528","fusione_in_esistente",4,2,1,46,48
"MeSH:D006528","fusione_in_esistente",3,12,11,36,47
"MeSH:D014466","fusione_in_esistente",4,3,2,46,47
"MeSH:D015179","fusione_in_esistente",3,18,17,28,46
"MeSH:D003876","fusione_in_esistente",4,2,1,44,45
"MeSH:D003876","fusione_in_esistente",3,2,1,43,44
"MeSH:D015179","fusione_in_esistente",3,13,12,33,44
"MeSH:D006528","fusione_in_esistente",3,7,6,38,42
"MeSH:D010190","fusione_in_esistente",4,5,4,35,39
"NCBITaxon:2697049","fusione_in_esistente",4,6,5,36,39
"MeSH:D001749","fusione_in_esistente",4,10,9,30,38
"MeSH:D001943","fusione_in_esistente",1,7,6,34,38
"MeSH:D006528","fusione_in_esistente",4,7,6,32,38
"MeSH:D000077192","fusione_in_esistente",4,8,7,30,37
"MeSH:D008180","fusione_in_esistente",4,11,10,28,36
"MeSH:D003110","fusione_in_esistente",4,2,1,35,36
"MeSH:D002289","fusione_in_esistente",3,18,17,25,34
"MeSH:D008175","fusione_in_esistente",4,8,7,26,33
"MeSH:D001943","fusione_in_esistente",0,6,5,28,32
"MeSH:D008180","fusione_in_esistente",3,11,10,24,32
"MeSH:D013274","fusione_in_esistente",4,3,2,30,32
"MeSH:D001943","fusione_in_esistente",4,6,5,26,31
"MeSH:D011471","fusione_in_esistente",4,2,1,30,31
"MeSH:D009369","fusione_in_esistente",4,8,7,24,29
"MeSH:D010051","fusione_in_esistente",3,3,2,27,29
"MeSH:D064726","fusione_in_esistente",4,28,27,15,29
"MeSH:D001943","fusione_in_esistente",2,4,3,25,27
"MeSH:D007680","fusione_in_esistente",4,7,6,26,27
"MeSH:D015179","fusione_in_esistente",4,8,7,20,27
"NCBITaxon:11309","fusione_in_esistente",4,2,1,12,26
"NCBITaxon:1773","fusione_in_esistente",4,2,1,26,26
"NCBITaxon:3052230","fusione_in_esistente",4,7,6,22,26
"MeSH:D000077273","fusione_in_esistente",4,6,5,21,25
"MeSH:D001943","fusione_in_esistente",1,3,2,24,25
"MeSH:D015179","fusione_in_esistente",2,5,4,21,25
"MeSH:D003110","fusione_in_esistente",4,7,6,18,24
"MeSH:D006528","fusione_in_esistente",3,9,8,16,24
"MeSH:D009369","fusione_in_esistente",3,8,7,19,24
"MeSH:D010051","fusione_in_esistente",3,10,9,17,24
"MeSH:D015179","fusione_in_esistente",2,3,2,22,24
"NCBITaxon:1773","fusione_in_esistente",4,3,2,24,24
"MeSH:D000077192","fusione_in_esistente",2,9,8,15,23
"MeSH:D001943","fusione_in_esistente",0,3,2,22,23
"MeSH:D006816","fusione_in_esistente",4,4,3,22,23
"MeSH:D015179","fusione_in_esistente",1,5,4,19,23
"MeSH:D002292","fusione_in_esistente",4,13,12,10,22
"MeSH:D054198","fusione_in_esistente",4,3,2,20,22
"MeSH:D011471","fusione_in_esistente",4,5,4,20,22
"MeSH:D006528","fusione_in_esistente",3,3,2,19,21
"MeSH:D009369","fusione_in_esistente",4,2,1,20,21
"MeSH:D015179","fusione_in_esistente",1,3,2,19,21
"MeSH:D001943","fusione_in_esistente",4,7,6,17,21
"MeSH:D006528","fusione_in_esistente",3,2,1,19,21
"CHEBI:84491","fusione_in_esistente",4,3,2,21,21
"MeSH:D001943","fusione_in_esistente",3,4,3,17,20
"MeSH:D003865","fusione_in_esistente",4,3,2,20,20
"MeSH:D003865","fusione_in_esistente",3,3,2,20,20
"CHEBI:84491","fusione_in_esistente",3,3,2,20,20
"CHEBI:68534","fusione_in_esistente",3,6,5,17,20
"MeSH:D001749","fusione_in_esistente",3,5,4,16,19
"MeSH:D001943","fusione_in_esistente",2,2,1,18,19
"MeSH:D015470","fusione_in_esistente",4,6,5,14,19
"NCBITaxon:10407","fusione_in_esistente",4,6,5,18,19
"CHEBI:379896","fusione_in_esistente",4,2,1,18,19
"MeSH:D002289","fusione_in_esistente",3,6,5,14,18
"MeSH:D011471","fusione_in_esistente",2,6,5,13,18
"MeSH:D011471","fusione_in_esistente",3,6,5,14,18
"MeSH:D015179","fusione_in_esistente",0,3,2,16,18
"NCBITaxon:1773","fusione_in_esistente",4,5,4,17,18
"NCBITaxon:1773","fusione_in_esistente",3,2,1,18,18
"MeSH:D000077192","fusione_in_esistente",2,2,1,16,17
"MeSH:D000077192","fusione_in_esistente",1,7,6,11,17
"MeSH:D000077195","fusione_in_esistente",4,8,7,11,17
"MeSH:D001943","fusione_in_esistente",2,5,4,13,17
"MeSH:D002583","fusione_in_esistente",4,7,6,12,17
"MeSH:D011471","fusione_in_esistente",1,5,4,13,17
"MeSH:D015470","fusione_in_esistente",4,2,1,16,17
"MeSH:D064726","fusione_in_esistente",3,9,8,9,17
"MeSH:D001943","fusione_in_esistente",2,3,2,14,16
"MeSH:D001943","fusione_in_esistente",1,2,1,15,16
"MeSH:D002289","fusione_in_esistente",3,9,8,8,16
"MeSH:D006528","fusione_in_esistente",2,5,4,12,16
"MeSH:D011471","fusione_in_esistente",2,2,1,15,16
"MeSH:D015179","fusione_in_esistente",4,7,6,10,16
"CHEBI:16469","fusione_in_esistente",4,4,3,14,16
"CHEBI:68534","fusione_in_esistente",3,4,3,14,16
"MeSH:D001943","fusione_in_esistente",0,2,1,14,15
"MeSH:D006816","fusione_in_esistente",3,3,2,14,15
"MeSH:D009369","fusione_in_esistente",3,2,1,14,15
"NCBITaxon:10376","fusione_in_esistente",4,2,1,15,15
"NCBITaxon:11309","fusione_in_esistente",3,2,1,7,15
"MeSH:D000077192","fusione_in_esistente",3,3,2,12,14
"MeSH:D000077192","fusione_in_esistente",1,2,1,13,14
"MeSH:D001172","fusione_in_esistente",4,5,4,13,14
"MeSH:D001943","fusione_in_esistente",4,2,1,13,14
"MeSH:D001943","fusione_in_esistente",1,5,4,10,14
"MeSH:D002311","fusione_in_esistente",4,5,4,10,14
"MeSH:D006528","fusione_in_esistente",4,2,1,14,14
"MeSH:D006528","fusione_in_esistente",2,2,1,13,14
"MeSH:D006528","fusione_in_esistente",1,2,1,13,14
"MeSH:D006528","fusione_in_esistente",0,2,1,13,14
"MeSH:D008175","fusione_in_esistente",3,7,6,8,14
"MeSH:D015470","fusione_in_esistente",3,3,2,12,14
"MeSH:D014466","fusione_in_esistente",3,3,2,13,14
"HGNC:1101","fusione_in_esistente",4,2,1,14,14
"MeSH:D006528","fusione_in_esistente",4,2,1,13,14
"MeSH:D011471","fusione_in_esistente",4,2,1,13,14
"NCBITaxon:10407","fusione_in_esistente",4,3,2,13,14
"NCBITaxon:1773","fusione_in_esistente",3,2,1,14,14
"NCBITaxon:3052230","fusione_in_esistente",3,3,2,13,14
"CHEBI:31638","fusione_in_esistente",4,3,2,12,14
"MeSH:D000077195","fusione_in_esistente",4,4,3,11,13
"MeSH:D001749","fusione_in_esistente",3,5,4,9,13
"MeSH:D001943","fusione_in_esistente",2,2,1,12,13
"MeSH:D001943","fusione_in_esistente",0,3,2,10,13
"MeSH:D001943","fusione_in_esistente",1,3,2,11,13
"MeSH:D002311","fusione_in_esistente",3,4,3,10,13
"MeSH:D006528","fusione_in_esistente",1,4,3,10,13
"MeSH:D010051","fusione_in_esistente",3,3,2,11,13
"MeSH:D015179","fusione_in_esistente",3,3,2,11,13
"MeSH:D015179","fusione_in_esistente",0,3,2,11,13
"MeSH:D016889","fusione_in_esistente",4,3,2,11,13
"MeSH:D020391","fusione_in_esistente",4,2,1,13,13
"NCBITaxon:1773","fusione_in_esistente",3,4,3,13,13
"NCBITaxon:1773","fusione_in_esistente",3,3,2,13,13
"NCBITaxon:2697049","fusione_in_esistente",3,5,4,11,13
"CHEBI:16330","fusione_in_esistente",4,8,7,9,13
"HGNC:6001","fusione_in_esistente",4,3,2,10,12
"MeSH:D000077192","fusione_in_esistente",3,3,2,10,12
"MeSH:D001943","fusione_in_esistente",0,5,4,8,12
"MeSH:D007680","fusione_in_esistente",3,7,6,11,12
"MeSH:D011471","fusione_in_esistente",1,2,1,11,12
"MeSH:D013274","fusione_in_esistente",3,2,1,11,12
"NCBITaxon:1773","fusione_in_esistente",2,2,1,12,12
"NCBITaxon:1773","fusione_in_esistente",2,3,2,12,12
"NCBITaxon:2697049","fusione_in_esistente",4,18,17,8,12
"MeSH:D002292","fusione_in_esistente",3,7,6,5,11
"MeSH:D003424","fusione_in_esistente",4,8,7,5,11
"MeSH:D015179","fusione_in_esistente",4,9,8,8,11
"MeSH:D015212","fusione_in_esistente",4,4,3,8,11
"CHEBI:16412","fusione_in_esistente",4,2,1,10,11
"MeSH:D001943","fusione_in_esistente",3,6,5,8,11
"MeSH:D011471","fusione_in_esistente",4,3,2,7,11
"HGNC:227","fusione_in_esistente",4,2,1,1,11
"CHEBI:16412","fusione_in_esistente",4,2,1,11,11
"CHEBI:28748","fusione_in_esistente",4,8,7,5,11
"CHEBI:41774","fusione_in_esistente",4,5,4,9,11
"CHEBI:63637","fusione_in_esistente",4,2,1,10,11
"HGNC:5438","fusione_in_esistente",4,4,3,7,10
"MeSH:D000077195","fusione_in_esistente",4,5,4,6,10
"MeSH:D000077273","fusione_in_esistente",3,5,4,7,10
"MeSH:D001172","fusione_in_esistente",3,4,3,10,10
"MeSH:D001943","fusione_in_esistente",4,2,1,9,10
"MeSH:D003093","fusione_in_esistente",4,4,3,9,10
"MeSH:D003093","fusione_in_esistente",4,3,2,9,10
"MeSH:D003093","fusione_in_esistente",3,3,2,8,10
"MeSH:D003424","fusione_in_esistente",4,5,4,7,10
"MeSH:D003922","fusione_in_esistente",4,4,3,8,10
"MeSH:D006528","fusione_in_esistente",0,3,2,8,10
"MeSH:D011471","fusione_in_esistente",0,4,3,7,10
"MeSH:D015179","fusione_in_esistente",0,3,2,8,10
"MeSH:D015451","fusione_in_esistente",4,6,5,6,10
"MeSH:D015451","fusione_in_esistente",3,6,5,6,10
"MeSH:D015470","fusione_in_esistente",3,2,1,9,10
"MeSH:D015470","fusione_in_esistente",4,4,3,8,10
"CHEBI:16412","fusione_in_esistente",4,9,8,3,10
"NCBITaxon:1313","fusione_in_esistente",4,2,1,10,10
"NCBITaxon:1773","fusione_in_esistente",1,2,1,10,10
"NCBITaxon:1773","fusione_in_esistente",0,2,1,10,10
"CHEBI:16469","fusione_in_esistente",3,2,1,9,10
"CHEBI:63637","fusione_in_esistente",4,2,1,9,10
"MeSH:D022781","fusione_in_esistente",4,2,1,9,9
"MeSH:D000077192","fusione_in_esistente",3,3,2,7,9
"MeSH:D000077192","fusione_in_esistente",0,5,4,5,9
"MeSH:D000077195","fusione_in_esistente",3,3,2,7,9
"MeSH:D000077195","fusione_in_esistente",3,3,2,7,9
"MeSH:D001943","fusione_in_esistente",4,5,4,5,9
"MeSH:D002292","fusione_in_esistente",4,9,8,4,9
"MeSH:D003093","fusione_in_esistente",3,4,3,8,9
"MeSH:D003424","fusione_in_esistente",3,7,6,4,9
"MeSH:D003424","fusione_in_esistente",3,4,3,7,9
"MeSH:D003922","fusione_in_esistente",3,2,1,8,9
"MeSH:D006528","fusione_in_esistente",3,2,1,9,9
"MeSH:D011471","fusione_in_esistente",2,2,1,8,9
"MeSH:D011471","fusione_in_esistente",1,2,1,8,9
"MeSH:D015179","fusione_in_esistente",4,5,4,5,9
"MeSH:D029424","fusione_in_esistente",4,2,1,8,9
"MeSH:D064726","fusione_in_esistente",3,18,17,5,9
"CHEBI:84491","fusione_in_esistente",2,2,1,9,9
"CHEBI:84491","fusione_in_esistente",2,2,1,9,9
"NCBITaxon:10407","fusione_in_esistente",3,2,1,9,9
"CHEBI:175901","fusione_in_esistente",4,6,5,5,9
"CHEBI:85993","fusione_in_esistente",4,2,1,8,9
"HGNC:5438","fusione_in_esistente",4,3,2,6,8
"HGNC:5438","fusione_in_esistente",3,4,3,5,8
"HGNC:6001","fusione_in_esistente",4,4,3,2,8
"MeSH:D000077192","fusione_in_esistente",4,6,5,6,8
"MeSH:D000077192","fusione_in_esistente",0,2,1,7,8
"MeSH:D000077192","fusione_in_esistente",0,3,2,6,8
"MeSH:D000077273","fusione_in_esistente",3,2,1,7,8
"MeSH:D002292","fusione_in_esistente",3,9,8,3,8
"MeSH:D003110","fusione_in_esistente",3,2,1,7,8
"MeSH:D006528","fusione_in_esistente",2,2,1,7,8
"MeSH:D006528","fusione_in_esistente",1,2,1,7,8
"MeSH:D006528","fusione_in_esistente",0,2,1,7,8
"MeSH:D008113","fusione_in_esistente",4,2,1,7,8
"MeSH:D009369","fusione_in_esistente",2,2,1,7,8
"MeSH:D009369","fusione_in_esistente",1,2,1,7,8
"MeSH:D011471","fusione_in_esistente",3,2,1,7,8
"MeSH:D011471","fusione_in_esistente",2,2,1,7,8
"MeSH:D011471","fusione_in_esistente",0,2,1,7,8
"MeSH:D011471","fusione_in_esistente",0,2,1,7,8
"MeSH:D011471","fusione_in_esistente",1,2,1,7,8
"MeSH:D015179","fusione_in_esistente",4,5,4,5,8
"MeSH:D015179","fusione_in_esistente",4,5,4,4,8
"MeSH:D015179","fusione_in_esistente",3,2,1,7,8
"MeSH:D015179","fusione_in_esistente",3,2,1,7,8
"MeSH:D015179","fusione_in_esistente",2,5,4,4,8
"MeSH:D016889","fusione_in_esistente",3,2,1,7,8
"MeSH:D055752","fusione_in_esistente",4,3,2,6,8
"MeSH:D010051","fusione_in_esistente",4,2,1,7,8
"MeSH:D015470","fusione_in_esistente",3,3,2,6,8
"CHEBI:84491","fusione_in_esistente",1,2,1,8,8
"CHEBI:16412","fusione_in_esistente",3,9,8,1,8
"NCBITaxon:2697049","fusione_in_esistente",4,3,2,7,8
"NCBITaxon:2697049","fusione_in_esistente",3,8,7,3,8
"CHEBI:27899","fusione_in_esistente",4,5,4,4,8
"CHEBI:379896","fusione_in_esistente",3,2,1,7,8
"CHEBI:46345","fusione_in_esistente",4,5,4,6,8
"CHEBI:63637","fusione_in_esistente",3,2,1,7,8
"HGNC:11766","fusione_in_esistente",4,2,1,6,7
"HGNC:5438","fusione_in_esistente",4,3,2,5,7
"HGNC:6001","fusione_in_esistente",3,2,1,6,7
"MeSH:D000077192","fusione_in_esistente",2,2,1,6,7
"MeSH:D000077195","fusione_in_esistente",3,5,4,3,7
"MeSH:D001943","fusione_in_esistente",2,4,3,5,7
"MeSH:D001943","fusione_in_esistente",3,3,2,5,7
"MeSH:D001943","fusione_in_esistente",3,6,5,3,7
"MeSH:D001943","fusione_in_esistente",3,7,6,3,7
"MeSH:D001943","fusione_in_esistente",1,4,3,5,7
"MeSH:D001943","fusione_in_esistente",0,4,3,5,7
"MeSH:D002292","fusione_in_esistente",3,5,4,3,7
"MeSH:D002583","fusione_in_esistente",3,4,3,6,7
"MeSH:D003110","fusione_in_esistente",3,3,2,5,7
"MeSH:D009369","fusione_in_esistente",0,2,1,6,7
"MeSH:D010190","fusione_in_esistente",4,2,1,6,7
"MeSH:D011471","fusione_in_esistente",3,17,16,4,7
"MeSH:D011471","fusione_in_esistente",3,6,5,5,7
"MeSH:D015179","fusione_in_esistente",3,3,2,5,7
"MeSH:D015179","fusione_in_esistente",3,4,3,4,7
"MeSH:D015179","fusione_in_esistente",1,5,4,3,7
"MeSH:D015212","fusione_in_esistente",4,7,6,2,7
"MeSH:D015212","fusione_in_esistente",3,3,2,5,7
"MeSH:D015470","fusione_in_esistente",4,5,4,3,7
"MeSH:D029424","fusione_in_esistente",3,2,1,6,7
"MeSH:D054198","fusione_in_esistente",3,2,1,6,7
"MeSH:D064726","fusione_in_esistente",4,6,5,2,7
"MeSH:D065626","fusione_in_esistente",4,2,1,6,7
"MeSH:D065626","fusione_in_esistente",3,2,1,6,7
"MeSH:D011839","fusione_in_esistente",4,3,2,3,7
"MeSH:D011471","fusione_in_esistente",3,2,1,7,7
"CHEBI:16412","fusione_in_esistente",3,2,1,7,7
"NCBITaxon:11309","fusione_in_esistente",4,5,4,4,7
"NCBITaxon:12814","fusione_in_esistente",4,14,13,3,7
"NCBITaxon:1313","fusione_in_esistente",3,2,1,7,7
"NCBITaxon:2697049","fusione_in_esistente",4,7,6,4,7
"NCBITaxon:2697049","fusione_in_esistente",4,3,2,5,7
"NCBITaxon:2697049","fusione_in_esistente",4,4,3,6,7
"NCBITaxon:2697049","fusione_in_esistente",3,15,14,4,7
"NCBITaxon:2697049","fusione_in_esistente",3,2,1,6,7
"NCBITaxon:5833","fusione_in_esistente",4,12,11,3,7
"CHEBI:16330","fusione_in_esistente",3,3,2,5,7
"CHEBI:28748","fusione_in_esistente",4,3,2,5,7
"CHEBI:85993","fusione_in_esistente",3,2,1,6,7
"HGNC:11892","fusione_in_esistente",4,3,2,4,6
"MeSH:D022781","fusione_in_esistente",3,2,1,6,6
"MeSH:D000077192","fusione_in_esistente",4,3,2,4,6
"MeSH:D000077192","fusione_in_esistente",1,2,1,5,6
"MeSH:D000077192","fusione_in_esistente",1,2,1,5,6
"MeSH:D000077195","fusione_in_esistente",4,2,1,5,6
"MeSH:D000077195","fusione_in_esistente",4,6,5,1,6
"MeSH:D001943","fusione_in_esistente",4,3,2,4,6
"MeSH:D001943","fusione_in_esistente",2,4,3,4,6
"MeSH:D001943","fusione_in_esistente",2,2,1,5,6
"MeSH:D001943","fusione_in_esistente",3,4,3,3,6
"MeSH:D001943","fusione_in_esistente",3,2,1,5,6
"MeSH:D001943","fusione_in_esistente",1,4,3,4,6
"MeSH:D001943","fusione_in_esistente",0,4,3,4,6
"MeSH:D002289","fusione_in_esistente",4,4,3,4,6
"MeSH:D002289","fusione_in_esistente",3,4,3,4,6
"MeSH:D003876","fusione_in_esistente",2,2,1,5,6
"MeSH:D003876","fusione_in_esistente",1,2,1,5,6
"MeSH:D003876","fusione_in_esistente",0,2,1,5,6
"MeSH:D006528","fusione_in_esistente",4,3,2,4,6
"MeSH:D006528","fusione_in_esistente",2,4,3,3,6
"MeSH:D006528","fusione_in_esistente",2,3,2,4,6
"MeSH:D006528","fusione_in_esistente",3,3,2,4,6
"MeSH:D006528","fusione_in_esistente",1,4,3,3,6
"MeSH:D006528","fusione_in_esistente",0,4,3,3,6
"MeSH:D008175","fusione_in_esistente",4,2,1,5,6
"MeSH:D009369","fusione_in_esistente",2,4,3,3,6
"MeSH:D009369","fusione_in_esistente",1,4,3,3,6
"MeSH:D010051","fusione_in_esistente",2,2,1,5,6
"MeSH:D010051","fusione_in_esistente",1,2,1,5,6
"MeSH:D011471","fusione_in_esistente",3,2,1,5,6
"MeSH:D011471","fusione_in_esistente",3,3,2,4,6
"MeSH:D013964","fusione_in_esistente",4,3,2,4,6
"MeSH:D015179","fusione_in_esistente",4,4,3,3,6
"MeSH:D015179","fusione_in_esistente",4,2,1,5,6
"MeSH:D015179","fusione_in_esistente",3,4,3,3,6
"MeSH:D015179","fusione_in_esistente",3,2,1,5,6
"MeSH:D015179","fusione_in_esistente",0,4,3,3,6
"MeSH:D015212","fusione_in_esistente",4,4,3,3,6
"MeSH:D015212","fusione_in_esistente",3,6,5,2,6
"MeSH:D015470","fusione_in_esistente",2,3,2,4,6
"MeSH:D015470","fusione_in_esistente",1,3,2,4,6
"MeSH:D015470","fusione_in_esistente",0,3,2,4,6
"MeSH:D054198","fusione_in_esistente",3,3,2,4,6
"MeSH:D064726","fusione_in_esistente",2,4,3,3,6
"MeSH:D003110","fusione_in_esistente",3,2,1,5,6
"CHEBI:84491","fusione_in_esistente",1,2,1,6,6
"MeSH:D006528","fusione_in_esistente",3,2,1,5,6
"NCBITaxon:10407","fusione_in_esistente",3,3,2,5,6
"NCBITaxon:11309","fusione_in_esistente",3,5,4,4,6
"NCBITaxon:1773","fusione_in_esistente",2,8,7,6,6
"NCBITaxon:1773","fusione_in_esistente",3,3,2,4,6
"NCBITaxon:1773","fusione_in_esistente",3,2,1,6,6
"NCBITaxon:1773","fusione_in_esistente",1,3,2,6,6
"NCBITaxon:1773","fusione_in_esistente",0,3,2,6,6
"NCBITaxon:2697049","fusione_in_esistente",4,9,8,4,6
"CHEBI:16469","fusione_in_esistente",4,3,2,4,6
"CHEBI:3139","fusione_in_esistente",4,6,5,4,6
"CHEBI:3139","fusione_in_esistente",3,6,5,4,6
"CHEBI:68534","fusione_in_esistente",2,2,1,5,6
"HGNC:11766","fusione_in_esistente",4,3,2,4,5
"HGNC:5438","fusione_in_esistente",4,4,3,3,5
"HGNC:5438","fusione_in_esistente",4,2,1,4,5
"HGNC:5438","fusione_in_esistente",3,2,1,4,5
"HGNC:6001","fusione_in_esistente",3,2,1,4,5
"MeSH:D000077192","fusione_in_esistente",3,2,1,4,5
"MeSH:D000077195","fusione_in_esistente",4,3,2,4,5
"MeSH:D000077195","fusione_in_esistente",4,4,3,2,5
"MeSH:D000077195","fusione_in_esistente",3,3,2,3,5
"MeSH:D000077195","fusione_in_esistente",3,3,2,3,5
"MeSH:D001172","fusione_in_esistente",4,3,2,3,5
"MeSH:D001172","fusione_in_esistente",3,3,2,3,5
"MeSH:D001943","fusione_in_esistente",4,2,1,4,5
"MeSH:D001943","fusione_in_esistente",2,3,2,3,5
"MeSH:D001943","fusione_in_esistente",3,2,1,4,5
"MeSH:D001943","fusione_in_esistente",3,3,2,3,5
"MeSH:D001943","fusione_in_esistente",3,2,1,4,5
"MeSH:D002289","fusione_in_esistente",2,3,2,3,5
"MeSH:D002292","fusione_in_esistente",4,4,3,2,5
"MeSH:D002292","fusione_in_esistente",3,3,2,3,5
"MeSH:D003110","fusione_in_esistente",3,3,2,3,5
"MeSH:D006528","fusione_in_esistente",3,3,2,3,5
"MeSH:D006528","fusione_in_esistente",2,2,1,4,5
"MeSH:D006528","fusione_in_esistente",1,2,1,4,5
"MeSH:D006528","fusione_in_esistente",0,2,1,4,5
"MeSH:D006528","fusione_in_esistente",1,3,2,3,5
"MeSH:D009369","fusione_in_esistente",0,4,3,2,5
"MeSH:D010190","fusione_in_esistente",4,2,1,4,5
"MeSH:D011371","fusione_in_esistente",4,7,6,4,5
"MeSH:D011471","fusione_in_esistente",2,2,1,5,5
"MeSH:D011471","fusione_in_esistente",1,2,1,4,5
"MeSH:D011471","fusione_in_esistente",0,3,2,3,5
"MeSH:D015179","fusione_in_esistente",4,3,2,3,5
"MeSH:D015179","fusione_in_esistente",4,3,2,3,5
"MeSH:D015179","fusione_in_esistente",3,7,6,4,5
"MeSH:D015179","fusione_in_esistente",2,4,3,2,5
"MeSH:D015179","fusione_in_esistente",3,2,1,4,5
"MeSH:D015179","fusione_in_esistente",3,3,2,3,5
"MeSH:D015179","fusione_in_esistente",3,4,3,2,5
"MeSH:D015179","fusione_in_esistente",1,4,3,2,5
"MeSH:D015212","fusione_in_esistente",3,4,3,2,5
"MeSH:D015470","fusione_in_esistente",4,4,3,2,5
"MeSH:D054198","fusione_in_esistente",4,5,4,1,5
"MeSH:D054198","fusione_in_esistente",4,2,1,4,5
"MeSH:D054198","fusione_in_esistente",3,5,4,1,5
"MeSH:D054198","fusione_in_esistente",3,2,1,4,5
"MeSH:D055752","fusione_in_esistente",3,2,1,4,5
"MeSH:D064726","fusione_in_esistente",1,3,2,3,5
"MeSH:D065646","fusione_in_esistente",4,4,3,2,5
"CHEBI:60156","fusione_in_esistente",4,2,1,5,5
"CHEBI:60156","fusione_in_esistente",3,2,1,5,5
"MeSH:D001749","fusione_in_esistente",4,2,1,5,5
"MeSH:D007252","fusione_in_esistente",4,2,1,1,5
"MeSH:D011471","fusione_in_esistente",3,2,1,4,5
"MeSH:D011471","fusione_in_esistente",3,4,3,3,5
"MeSH:D011839","fusione_in_esistente",4,3,2,1,5
"MeSH:D011839","fusione_in_esistente",3,2,1,3,5
"HGNC:1101","fusione_in_esistente",3,2,1,5,5
"HGNC:6407","fusione_in_esistente",4,2,1,5,5
"HGNC:6407","fusione_in_esistente",3,2,1,5,5
"MeSH:D011471","fusione_in_esistente",3,2,1,4,5
"MeSH:D015179","fusione_in_esistente",4,2,1,5,5
"CHEBI:16412","fusione_in_esistente",2,2,1,4,5
"MeSH:D008175","fusione_in_esistente",4,2,1,4,5
"NCBITaxon:10566","fusione_in_esistente",4,9,8,4,5
"NCBITaxon:1773","fusione_in_esistente",4,2,1,4,5
"NCBITaxon:1773","fusione_in_esistente",1,2,1,5,5
"NCBITaxon:1773","fusione_in_esistente",0,2,1,5,5
"NCBITaxon:2697049","fusione_in_esistente",4,3,2,4,5
"NCBITaxon:2697049","fusione_in_esistente",4,4,3,3,5
"NCBITaxon:2697049","fusione_in_esistente",2,2,1,4,5
"NCBITaxon:2697049","fusione_in_esistente",3,3,2,3,5
"NCBITaxon:5833","fusione_in_esistente",3,12,11,1,5
"CHEBI:16330","fusione_in_esistente",3,2,1,5,5
"CHEBI:16330","fusione_in_esistente",2,3,2,3,5
"CHEBI:16469","fusione_in_esistente",3,3,2,3,5
"CHEBI:175901","fusione_in_esistente",3,2,1,4,5
"CHEBI:231601","fusione_in_esistente",4,5,4,4,5
"CHEBI:27899","fusione_in_esistente",4,8,7,2,5
"CHEBI:27899","fusione_in_esistente",3,4,3,2,5
"CHEBI:28748","fusione_in_esistente",3,4,3,3,5
"CHEBI:28748","fusione_in_esistente",3,4,3,2,5
"CHEBI:31638","fusione_in_esistente",3,3,2,3,5
"CHEBI:50845","fusione_in_esistente",4,2,1,4,5
"CHEBI:68534","fusione_in_esistente",2,7,6,3,5
"CHEBI:72564","fusione_in_esistente",4,3,2,3,5
"CHEBI:7896","fusione_in_esistente",4,2,1,4,5
"HGNC:11766","fusione_in_esistente",4,2,1,3,4
"HGNC:11892","fusione_in_esistente",3,3,2,2,4
"HGNC:2434","fusione_in_esistente",4,4,3,1,4
"HGNC:2434","fusione_in_esistente",3,4,3,1,4
"HGNC:6001","nuova_coalescenza_override",3,3,3,0,4
"MeSH:D050417","fusione_in_esistente",4,2,1,4,4
"MeSH:D050417","fusione_in_esistente",3,2,1,4,4
"MeSH:D000077192","fusione_in_esistente",2,2,1,3,4
"MeSH:D000077192","fusione_in_esistente",3,2,1,3,4
"MeSH:D000077192","fusione_in_esistente",2,3,2,3,4
"MeSH:D000077192","fusione_in_esistente",2,2,1,3,4
"MeSH:D000077192","fusione_in_esistente",2,2,1,3,4
"MeSH:D000077192","fusione_in_esistente",2,6,5,3,4
"MeSH:D000077192","fusione_in_esistente",3,2,1,3,4
"MeSH:D000077192","fusione_in_esistente",3,3,2,2,4
"MeSH:D000077192","fusione_in_esistente",1,2,1,3,4
