"cluster_id","n_sig","I2_med","tau2_med","k_eff","anchor_key","kind_effective_resolved","agent_id_resolved","canonical_name","recovery_source"
"group_L4_ec80f0e9",7009,95.7,0.1063,14,"small_molecule|CHEBI:379896|prostate","small_molecule","CHEBI:379896","R1881","LLM_NAME_CLEANUP"
"group_L4_3b83ac87",6088,65.4,0.023,3,"small_molecule|CHEBI:85993|breast","small_molecule","CHEBI:85993","palbociclib","NO_RECOVERY"
"group_L4_7b3e137b",5484,66.5,0.1138,3,"disease_vs_normal|MeSH:D002292|kidney","disease_vs_normal","MeSH:D002292","Carcinoma, Renal Cell","MESH_NAME"
"group_L4_455cb1f4",5338,91.2,0.3301,3,"genetic_overexpression|STR:mir-9/9*-124|skin","genetic_overexpression","STR:mir-9/9*-124","miR-9/9*-124","NO_RECOVERY"
"group_L4_f4b9f686",5141,94.5,0.2513,4,"small_molecule|CHEBI:27953|prostate","small_molecule","CHEBI:27953","physostigmine","CHEBI_ALIAS"
"group_L4_37f8dcca",4992,15.6,0.0083,3,"pathogen_or_aggregate_exposure|NCBITaxon:12721|large intestine","pathogen_or_aggregate_exposure","NCBITaxon:12721","human immunodeficiency virus","LLM_NAME_CLEANUP"
"group_L4_51625c0e",4184,42.1,0.0229,3,"small_molecule|CHEBI:231601|breast","small_molecule","CHEBI:231601","trastuzumab","CHEBI_ALIAS"
"group_L4_f6799506",3885,92,0.2183,3,"small_molecule|CHEBI:46345|colon","small_molecule","CHEBI:46345","5-fluorouracil","CHEBI_ALIAS"
"group_L4_1b42ff33",3823,58,0.0162,4,"pathogen_or_aggregate_exposure|CHEBI:16412|Whole blood","pathogen_or_aggregate_exposure","CHEBI:16412","Lipopolysaccharide","LLM_NAME_CLEANUP"
"group_L4_3dc3ae01",3551,61.9,0.06,3,"cytokine_stim|MeSH:D053583|cartilage","cytokine_stim","MeSH:D053583","Interleukin-1beta","NO_RECOVERY"
"group_L4_1ec72ee3",3535,31.4,0.0074,3,"disease_vs_normal|MeSH:D010300|brain","disease_vs_normal","MeSH:D010300","Parkinson's disease","LLM_NAME_CLEANUP"
"group_L4_acedcf7f",3376,0,0,3,"small_molecule|CHEBI:16579|blood","small_molecule","CHEBI:16579","anisole","LLM_NAME_CLEANUP"
"group_L4_073a3d38",3018,79.3,0.1107,3,"genetic_overexpression|HGNC:6407|lung","genetic_overexpression","HGNC:6407","KRAS","NO_RECOVERY"
"group_L4_0a2f157f",2941,74.1,0.1236,3,"cytokine_stim|CHEBI:85994|liver","cytokine_stim","CHEBI:85994","lenvatinib","CHEBI_ALIAS"
"group_L4_2c92ab19",2896,6,0.0012,3,"disease_vs_normal|STR:primary_sjogren_s_syndrome|peripheral blood","disease_vs_normal","STR:primary_sjogren_s_syndrome","primary sjogren's syndrome","STR_FALLBACK"
"group_L4_c507ffd4",2797,90.7,0.3027,3,"genetic_knockdown|HGNC:26052|colorectal carcinoma","genetic_knockdown","HGNC:26052","INTS11","K2_GENETIC"
"group_L4_c8600f54",2684,51.1,0.1056,5,"disease_vs_normal|MeSH:D013274|stomach","disease_vs_normal","MeSH:D013274","gastric cancer","LLM_NAME_CLEANUP"
"group_L4_56ec6b80",2661,91.2,0.1671,4,"genetic_knockdown|MeSH:D012512|Ewing sarcoma","genetic_knockdown","MeSH:D012512","Ewing sarcoma","LLM_NAME_CLEANUP"
"group_L4_f477e6a4",2647,70.5,0.1009,5,"cytokine_stim|HGNC:11766|lung","cytokine_stim","HGNC:11766","TGFB1","CYTOKINE_IMMPORT"
"group_L4_deda8dff",2510,94.5,0.2729,8,"small_molecule|CHEBI:123456|lung","small_molecule","CHEBI:123456","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","LLM_NAME_CLEANUP"
