gene_id,gene_symbol,logFC_pool,SE_pool,p_value_pool,FDR_BH_within_cluster,k_effective,tau2,I2,direction_applied
ENSG00000000023,HGNC23,-5.23516758401008,1.147033516802016,8.338633541379015e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000024,HGNC24,5.068376763940121,1.1136753527880243,1.2700286180466724e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000002,HGNC2,-4.654634467042769,1.0309268934085538,1.771364937110851e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000016,HGNC16,4.2972657831929695,0.9594531566385939,3.3459973330313033e-4,0.002698112936204673,2,NA,NA,none
ENSG00000000010,HGNC10,3.863025736753766,0.8726051473507531,2.5300254412763667e-4,0.0026636964201272252,2,NA,NA,none
ENSG00000000006,HGNC6,-3.714756983958643,0.8429513967917286,8.934217972622706e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000003,HGNC3,3.501508647707045,0.800301729541409,5.195604984991289e-4,0.003402696593788874,2,NA,NA,none
ENSG00000000012,HGNC12,-3.215347152452028,0.7430694304904055,7.685471829977441e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000017,HGNC17,-2.978077533328478,0.6956155066656956,1.5443505280823816e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000020,HGNC20,2.6866967467936345,0.6373393493587268,5.784584209441086e-4,0.003402696593788874,2,NA,NA,none
ENSG00000000025,HGNC25,2.594333935555734,0.6188667871111467,6.49453986566137e-4,0.003608077703145205,2,NA,NA,none
ENSG00000000022,HGNC22,2.50985720538184,0.601971441076368,9.332703216141513e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000008,HGNC8,-2.4008465338549785,0.5801693067709957,1.465724796392875e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000015,HGNC15,1.7700406439620162,0.45400812879240326,5.185696603201277e-4,0.003402696593788874,2,NA,NA,none
ENSG00000000009,HGNC9,-1.6004769898513094,0.42009539797026185,9.028058060781548e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000005,HGNC5,-1.4035359740167606,0.38070719480335213,1.1536210098981915e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000018,HGNC18,1.3639508927408477,0.37279017854816954,2.663696420127225e-4,0.0026636964201272252,2,NA,NA,none
ENSG00000000014,HGNC14,-1.0882152468838495,0.3176430493767699,3.05399397464636e-4,0.002698112936204673,2,NA,NA,none
ENSG00000000004,HGNC4,-0.820937104122242,0.2641874208244484,8.1112080396223e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000021,HGNC21,-0.6893344168387994,0.23786688336775988,8.086018143698814e-4,0.003733081286456605,2,NA,NA,none
ENSG00000000011,HGNC11,-0.5265776107263822,0.20531552214527643,1.5059768520657739e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000013,HGNC13,0.48962064740214695,0.1979241294804294,2.3012340805947582e-4,0.0026636964201272252,2,NA,NA,none
ENSG00000000019,HGNC19,0.25469417603546185,0.1509388352070924,3.507546817066075e-4,0.002698112936204673,2,NA,NA,none
ENSG00000000001,HGNC1,-0.12209542545364478,0.12441908509072896,1.3650529456049883e-4,0.0025305213387297873,2,NA,NA,none
ENSG00000000007,HGNC7,-0.02328610133197989,0.10465722026639598,5.75352923568466e-4,0.003402696593788874,2,NA,NA,none
