"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus"
"CHEBI:138885","CHEMBL:CHEMBL75094","chebi","chembl","prinomastat","T1_canonico_canonico",FALSE
"CHEBI:139608","CHEMBL:CHEMBL2105734","chebi","chembl","sepantroniumbromide","T1_canonico_canonico",FALSE
"CHEBI:140592","CHEMBL:CHEMBL1214827","chebi","chembl","onalespib","T1_canonico_canonico",FALSE
"CHEBI:145365","CHEMBL:CHEMBL2105728","chebi","chembl","crenolanib","T1_canonico_canonico",FALSE
"CHEBI:145371","CHEMBL:CHEMBL3187723","chebi","chembl","binimetinib","T1_canonico_canonico",FALSE
"CHEBI:145372","CHEMBL:CHEMBL3301603","chebi","chembl","xospata","T3_alias_alias",FALSE
"CHEBI:145372","CHEMBL:CHEMBL3301622","chebi","chembl","gilteritinib","T1_canonico_canonico",FALSE
"CHEBI:145374","CHEMBL:CHEMBL3989908","chebi","chembl","enasidenib","T1_canonico_canonico",FALSE
"CHEBI:145374","CHEMBL:CHEMBL3989931","chebi","chembl","cc90007","T3_alias_alias",FALSE
"CHEBI:145417","CHEMBL:CHEMBL1241855","chebi","chembl","rigosertib","T1_canonico_canonico",FALSE
"CHEBI:145431","CHEMBL:CHEMBL77517","chebi","chembl","indisulam","T1_canonico_canonico",FALSE
"CHEBI:145535","CHEMBL:CHEMBL1231160","chebi","chembl","pevonedistat","T1_canonico_canonico",FALSE
"CHEBI:145994","CHEMBL:CHEMBL4065616","chebi","chembl","remdesivir","T1_canonico_canonico",FALSE
"CHEBI:146194","CHEMBL:CHEMBL468823","chebi","chembl","15acetyldeoxynivalenol","T1_canonico_canonico",FALSE
"CHEBI:146207","CHEMBL:CHEMBL1908337","chebi","chembl","palytoxin","T1_canonico_canonico",FALSE
"CHEBI:146244","CHEMBL:CHEMBL3613118","chebi","chembl","hu308","T2_canonico_alias",FALSE
"CHEBI:147398","CHEMBL:CHEMBL3545157","chebi","chembl","tideglusib","T1_canonico_canonico",FALSE
"CHEBI:15361","CHEMBL:CHEMBL1162144","chebi","chembl","pyruvate","T1_canonico_canonico",FALSE
"CHEBI:15361","MeSH:D019289","chebi","mesh","pyruvate","T2_canonico_alias",FALSE
"CHEBI:15365","CHEMBL:CHEMBL25","chebi","chembl","acetylsalicylicacid","T2_canonico_alias",FALSE
"CHEBI:15365","MeSH:D001241","chebi","mesh","acetylsalicylicacid","T2_canonico_alias",FALSE
"CHEBI:15367","CHEMBL:CHEMBL38","chebi","chembl","alltransretinoicacid","T2_canonico_alias",FALSE
"CHEBI:15367","MeSH:D014212","chebi","mesh","alltransretinoicacid","T2_canonico_alias",FALSE
"CHEBI:15367","NCBITaxon:61833","chebi","ncbitaxon","renova","T2_canonico_alias",FALSE
"CHEBI:15379","CHEMBL:CHEMBL1234886","chebi","chembl","dioxygen","T2_canonico_alias",FALSE
"CHEBI:15379","MeSH:D010100","chebi","mesh","dioxygen","T2_canonico_alias",FALSE
"CHEBI:15414","CHEMBL:CHEMBL1088977","chebi","chembl","same","T3_alias_alias",FALSE
"CHEBI:15414","MeSH:D012436","chebi","mesh","same","T3_alias_alias",FALSE
"CHEBI:15422","CHEMBL:CHEMBL14249","chebi","chembl","adenosinetriphosphate","T2_canonico_alias",FALSE
"CHEBI:15422","MeSH:D000255","chebi","mesh","adenosinetriphosphate","T2_canonico_alias",FALSE
"CHEBI:15428","MeSH:D005998","chebi","mesh","aminoaceticacid","T3_alias_alias",FALSE
"CHEBI:15551","CHEMBL:CHEMBL548","chebi","chembl","dinoprostone","T2_canonico_alias",FALSE
"CHEBI:15551","MeSH:D015232","chebi","mesh","dinoprostone","T2_canonico_alias",FALSE
"CHEBI:15553","CHEMBL:CHEMBL1200896","chebi","chembl","prostinf2alpha","T3_alias_alias",FALSE
"CHEBI:15553","CHEMBL:CHEMBL815","chebi","chembl","dinoprost","T2_canonico_alias",FALSE
"CHEBI:15553","MeSH:D015237","chebi","mesh","dinoprost","T2_canonico_alias",FALSE
"CHEBI:156287","CHEMBL:CHEMBL4303309","chebi","chembl","cx5461","T1_canonico_canonico",FALSE
"CHEBI:15640","CHEMBL:CHEMBL1679","chebi","chembl","5formyltetrahydrofolicacid","T2_canonico_alias",FALSE
"CHEBI:15640","MeSH:D002955","chebi","mesh","leucovorin","T2_canonico_alias",FALSE
"CHEBI:15647","MeSH:D007975","chebi","mesh","512dihete","T3_alias_alias",FALSE
"CHEBI:15688","MeSH:D000093","chebi","mesh","acetoin","T1_canonico_canonico",FALSE
"CHEBI:15698","CHEMBL:CHEMBL66115","chebi","chembl","2deoxycytidine","T2_canonico_alias",FALSE
"CHEBI:15698","MeSH:D003841","chebi","mesh","deoxycytidine","T2_canonico_alias",FALSE
"CHEBI:15727","MeSH:D002336","chebi","mesh","lcarnosine","T3_alias_alias",FALSE
"CHEBI:15756","CHEMBL:CHEMBL82293","chebi","chembl","palmiticacid","T2_canonico_alias",FALSE
"CHEBI:15756","HGNC:30074","chebi","hgnc","c160","T3_alias_alias",FALSE
"CHEBI:15756","MeSH:D019308","chebi","mesh","hexadecanoicacid","T2_canonico_alias",FALSE
"CHEBI:157718","CHEMBL:CHEMBL251958","chebi","chembl","flavokawainc","T1_canonico_canonico",FALSE
"CHEBI:15843","CHEMBL:CHEMBL15594","chebi","chembl","arachidonicacid","T1_canonico_canonico",FALSE
"CHEBI:15843","MeSH:D016718","chebi","mesh","arachidonicacid","T1_canonico_canonico",FALSE
"CHEBI:15940","CHEMBL:CHEMBL573","chebi","chembl","nicotinicacid","T2_canonico_alias",FALSE
